objectid,title,state,university,repo-y-or-no,reponame,filename,pubtitle,titlesincollection,agency,numberofitems,date-range,software,imagefile?,pdf?,type,format,subject
agpubrepos0101,Colorado Extension Oral Histories (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100024,Colorado Extension Oral Histories,,Colorado State University Extension,18,1974-1988,,,y,url,record,
agpubrepos0102,NoCo Bloom (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/181105,NoCo Bloom,,Colorado State University Extension,7,2016-2019,,,y,url,record,
agpubrepos0103,Photographs (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100025,Photographs,,Colorado State University Extension,21,1915-1951,,,y,url,record,
agpubrepos0104,Publications (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100026,Publications,,Colorado State University Extension,530,1911-2020,,,y,url,record,
agpubrepos0105,Documents (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/184072,Documents,,Rocky Mountain Farmers Union,15,2001-1919,,,y,url,record,
agpubrepos0106,Photographs (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100032,Photographs,,Rocky Mountain Farmers Union,144,1900-1983,,jpg,,url,record,
agpubrepos0107,Slides (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100033,Slides,,Rocky Mountain Farmers Union,24,1900-1949,,,y,url,record,
agpubrepos0108,Colorado Beekeepers Association Records (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/196412/browse?type=date,Colorado Beekeepers Association Records,,Colorado Beekeepers Association,23,1938-1989,,,y,url,record,
agpubrepos0109,Colorado Cannabis Collecting Initiative (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/196090,Colorado Cannabis Collecting Initiative,,Colorado Cannabis Collecting Initiative,22,2005-2016,,,y,url,record,
agpubrepos0110,Colorado Cattle Feeders Association Records (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/181817,Colorado Cattle Feeders Association Records,,Colorado Cattle Feeders Association,24,1955-1978,,,y,url,record,
agpubrepos0111,Colorado Craft Brewers Collection (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/198712,Colorado Craft Brewers Collection,,Colorado Craft Brewers Collection,1,,,,y,url,record,
agpubrepos0112,Colorado Grain and Feed Association Records (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/185531,Colorado Grain and Feed Association Records,,Colorado Grain and Feed Association Records,73,1943-1988,,,y,url,record,
agpubrepos0113,Colorado State Forestry Association Records (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/184868,Colorado State Forestry Association Records,,Colorado State Forestry Association,145,1983-2005,,,y,url,record,
agpubrepos0114,Great Plains Agricultural Council Records (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/194263,Great Plains Agricultural Council Records,,Great Plains Agricultural Council,,1996-1996,,,y,url,record,
agpubrepos0115,Great Western Sugar Company Records (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/196379,Great Western Sugar Company Records,,Great Western Sugar Company,3009,1802-1997,,jpg,y,url,record,
agpubrepos0116,Publications (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/194349,Publications,,Agricultural and Natural Resources Archive,30,1917-1944,,,y,url,record,
agpubrepos0117,Publications (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100035,Publications,,National Western Stock Show,3,1948-2009,,,y,url,record,
agpubrepos0118,Western Dairy Council Records (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/187315,Western Dairy Council Records,,Western Dairy Council,108,1935-1988,,,y,url,record,
agpubrepos0119,White Pine Blister Rust Reports (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/170500,White Pine Blister Rust Reports,,,24,1941-1962,,,y,url,record,
agpubrepos0120,Colorado Water Resources Research Institute Records (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100135,Colorado Water Resources Research Institute Records,,Colorado Water Resources Research Institute,30,1949-1971,,,y,url,record,
agpubrepos0121,National Water Resources Association Papers (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/100158,National Water Resources Association Papers,,National Water Resources Association,52,1932-1963,,,y,url,record,
agpubrepos0122,Publications (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/184643,Publications,,Water Resources Archive,51,2005-2010,,,y,url,record,
agpubrepos0123,Western Livestock Journal (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/184285,Western Livestock Journal,,,577,1922-2013,,,y,url,record,
agpubrepos0124,Sugar Press (Colorado State University),Colorado,Colorado State University,y,Mountain Scholar,https://mountainscholar.org/handle/10217/196003,Sugar Press,,,86,1944-1981,,,y,url,record,
agpubrepos0125,FILMS: Agriculture and Natural Resources [collection] (Indiana University-Bloomington),Indiana,Indiana University-Bloomington,y,WWII Propaganda Films and IU,https://collections.libraries.indiana.edu/IULMIA/exhibits/show/war-films-categories/agriculture,FILMS: Agriculture and Natural Resources [collection],multiple,,26,1938-1945,Omeka and Avalon Media System,,,url,record,
agpubrepos0126,Indiana Farm Security Administration Photographs (IUPUI University Library),Indiana,IUPUI University Library,y,IUPUI University Library Digital Collections,http://ulib.iupui.edu/collections/IFSAP,Indiana Farm Security Administration Photographs,multiple,IUPUI University Library,678,1935-1945,ContentDM,jpg2000,tiffs available,url,record,
agpubrepos0127,Indiana State Fairgrounds and Event Center (IUPUI University Library),Indiana,IUPUI University Library,y,IUPUI University Library Digital Collections,http://ulib.iupui.edu/collections/ISFEC,Indiana State Fairgrounds and Event Center,multiple,IUPUI University Library,10820,1909-2017,ContentDM,jpg2000,tiffs available,url,record,
agpubrepos0128,"National FFA Organization Records, 1916-2008 (Digital), Historical Images Online (IUPUI University Library)",Indiana,IUPUI University Library,y,IUPUI University Library Digital Collections,http://ulib.iupui.edu/collections/ffa/digital,"National FFA Organization Records, 1916-2008 (Digital), Historical Images Online",multiple,IUPUI University Library,1508,1929-1999,ContentDM,jpg2000,tiffs available,url,record,
agpubrepos0129,Purdue Agricultural Economics Report (PAER) (Purdue),Indiana,Purdue,,1990-2011 Purdue Agricultural Economics Report (PAER) Archive,https://ag.purdue.edu/agecon/Pages/Purdue-Agricultural-Economics-Report-Archive.aspx,,Purdue Agricultural Economics Report (PAER),,,,,,,url,record,
agpubrepos0130,Agricultural Education at Purdue (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/ag-ed/search,Agricultural Education at Purdue,,,200,1883-1966,ContentDM,,,url,record,
agpubrepos0131,Extension Agricultural Science Digest (Purdue University. Ag. Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AESAgSciDig/search/order/subjec/ad/asc,Extension Agricultural Science Digest (Purdue University. Ag. Extension Service),Agricultural Science Digest,Purdue University. Ag. Extension Service,40,1963-1971,ContentDM,,,url,record,
agpubrepos0132,Extension Annual Report (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AES_AR/search,Extension Annual Report (Purdue University. Agricultural Extension Service),Extension Annual Report,Purdue University. Ag. Extension Service,47,1912-1982,ContentDM,,,url,record,
agpubrepos0133,Extension Bulletin (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AESBulletin/search,Extension Bulletin (Purdue University. Agricultural Extension Service),multiple,Purdue University. Ag. Extension Service,426,1910-1962,ContentDM,,,url,record,
agpubrepos0134,Extension Circular (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AESCircular/search,Extension Circular (Purdue University. Agricultural Extension Service),multiple,Purdue University. Ag. Extension Service,544,1906-1965,ContentDM,,,url,record,
agpubrepos0135,Extension Economic & Marketing Info (Purdue University. Agricultural Extension) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AESecon/search,Extension Economic & Marketing Info (Purdue University. Agricultural Extension),Economic Information for Indiana Farmers,Purdue University. Ag. Extension Service,323,1940-1971,ContentDM,,,url,record,
agpubrepos0136,Extension Indiana Crops and Livestock (Purdue University. Ag. Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AESCrops/search,Extension Indiana Crops and Livestock (Purdue University. Ag. Extension Service),Indiana Crops and Livestock,Purdue University. Ag. Extension Service,520,1925-1969,ContentDM,,,url,record,
agpubrepos0137,Extension Indiana Crop and Livestock Statistics (Purdue Univ. Ag. Ext. Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AESclsum/search,Extension Indiana Crop and Livestock Statistics (Purdue Univ. Ag. Ext. Service),Indiana Crop and Livestock Statistics ,Purdue University. Ag. Extension Service,18,1972-1988,ContentDM,,,url,record,
agpubrepos0138,Extension Inspection Report (Purdue University. Ag. Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AESinspecrep/search,Extension Inspection Report (Purdue University. Ag. Extension Service),Inspection Report,Purdue University. Ag. Extension Service,160,1956-1988,ContentDM,,,url,record,
agpubrepos0139,Extension Leaflet (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AESLeaflet/search,Extension Leaflet (Purdue University. Agricultural Extension Service),Extension Leaflet ,Purdue University. Ag. Extension Service,402,1910-1956,ContentDM,,,url,record,
agpubrepos0140,Extension Mimeo 4H (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AESMimeo4H/search,Extension Mimeo 4H (Purdue University. Agricultural Extension Service),Extension Mimeo 4-H,Purdue University. Ag. Extension Service,715,1951-1974?,,,,url,record,
agpubrepos0141,Extension Mimeo AE (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AESMimeoAE/search,Extension Mimeo AE (Purdue University. Agricultural Extension Service),Agricultural Engineering Mimeo,Purdue University. Ag. Extension Service,117,1944-1986?,,,,url,record,
agpubrepos0142,Extension Mimeo AS (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AESMimeoAS/search,Extension Mimeo AS (Purdue University. Agricultural Extension Service),Animal Science Memeo,Purdue University. Ag. Extension Service,449,1942-1988,,,,url,record,
agpubrepos0143,Extension Mimeo AY (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AESMimeoAY/search,Extension Mimeo AY (Purdue University. Agricultural Extension Service),Agronomy Guide,Purdue University. Ag. Extension Service,76,1940-1986,,,,url,record,
agpubrepos0144,Extension Mimeo BP (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AESmimeoBP/search,Extension Mimeo BP (Purdue University. Agricultural Extension Service),Botany & Plant Biology / Plant Disease,Purdue University. Ag. Extension Service,305,1944-1987,,,,url,record,
agpubrepos0145,Extension Mimeo DH (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AESMimeoDH/search,Extension Mimeo DH (Purdue University. Agricultural Extension Service),Dairy Husbandry,Purdue University. Ag. Extension Service,146,1949-1983,,,,url,record,
agpubrepos0146,Extension Mimeo E (Purdue University. Ag. Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AESmimeoE/search,Extension Mimeo E (Purdue University. Ag. Extension Service),Entomology,Purdue University. Ag. Extension Service,789,1971-1988,,,,url,record,
agpubrepos0147,Extension Mimeo EC (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,,Extension Mimeo EC (Purdue University. Agricultural Extension Service),,Purdue University. Ag. Extension Service,,,,,,url,record,
agpubrepos0148,Extension Mimeo F (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AESMimeoF/search,Extension Mimeo F (Purdue University. Agricultural Extension Service),Forestry,Purdue University. Ag. Extension Service,131,1952-1975,,,,url,record,
agpubrepos0149,Extension Mimeo FNR (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,https://earchives.lib.purdue.edu/digital/collection/AESMimeoF/search,Extension Mimeo FNR (Purdue University. Agricultural Extension Service),Forestry and Natural Resources,Purdue University. Ag. Extension Service,82,1978-1987,,,,url,record,
agpubrepos0150,Extension Mimeo HE (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,,Extension Mimeo HE (Purdue University. Agricultural Extension Service),,Purdue University. Ag. Extension Service,,,,,,url,record,
agpubrepos0151,Extension Mimeo HO (Purdue University. Ag. Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,,Extension Mimeo HO (Purdue University. Ag. Extension Service),,Purdue University. Ag. Extension Service,,,,,,url,record,
agpubrepos0152,Extension Mimeo ID (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,,Extension Mimeo ID (Purdue University. Agricultural Extension Service),,Purdue University. Ag. Extension Service,,,,,,url,record,
agpubrepos0153,Extension Mimeo P (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,,Extension Mimeo P (Purdue University. Agricultural Extension Service),,Purdue University. Ag. Extension Service,,,,,,url,record,
agpubrepos0154,Extension Mimeo S (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,,Extension Mimeo S (Purdue University. Agricultural Extension Service),,Purdue University. Ag. Extension Service,,,,,,url,record,
agpubrepos0155,Extension Pinney Purdue Farm Field Day (Purdue University. Ag. Extension Srvc.) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,,Extension Pinney Purdue Farm Field Day (Purdue University. Ag. Extension Srvc.),,Purdue University. Ag. Extension Service,,,,,,url,record,
agpubrepos0156,Extension Pork Industry Handbook (Purdue University. Ag. Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,,Extension Pork Industry Handbook (Purdue University. Ag. Extension Service),,Purdue University. Ag. Extension Service,,,,,,url,record,
agpubrepos0157,Extension Purdue Agriculture Reports (Purdue University. Ag. Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,,Extension Purdue Agriculture Reports (Purdue University. Ag. Extension Service),,Purdue University. Ag. Extension Service,,,,,,url,record,
agpubrepos0158,Extension Purdue Swine Day (Purdue University. Ag. Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,,Extension Purdue Swine Day (Purdue University. Ag. Extension Service),,Purdue University. Ag. Extension Service,,,,,,url,record,
agpubrepos0159,Extension Research Progress Report (Purdue University. Ag. Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,,Extension Research Progress Report (Purdue University. Ag. Extension Service),,Purdue University. Ag. Extension Service,,,,,,url,record,
agpubrepos0160,Extension Southern Indiana Forage Farm (Purdue Univ. Ag. Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,,Extension Southern Indiana Forage Farm (Purdue Univ. Ag. Extension Service),,Purdue University. Ag. Extension Service,,,,,,url,record,
agpubrepos0161,Extension Special Circular (Purdue University. Agricultural Extension Service) (Purdue),Indiana,Purdue,y,Purdue University Libraries’ e-Archives,,Extension Special Circular (Purdue University. Agricultural Extension Service),,Purdue University. Ag. Extension Service,,,,,,url,record,
agpubrepos0162,Wisconsin Geological and Natural History Survey - Publications Catalog - Soils (University of Wisconsin-Madison),Wisconsin,University of Wisconsin-Madison,n,Wisconsin Geological and Natural History Survey - Publications Catalog - Soils,https://wgnhs.wisc.edu/catalog/publication?tags=Soils,Wisconsin Geological and Natural History Survey - Publications Catalog - Soils,,UW-M Wisconsin Geological and Natural History,104,1873-1993,,pdf,y,url,record,
agpubrepos0163,Wisconsin Geological and Natural History Survey - Publications Catalog - Climate and Weather (University of Wisconsin-Madison),Wisconsin,University of Wisconsin-Madison,n,Wisconsin Geological and Natural History Survey - Publications Catalog - Climate and Weather,https://wgnhs.wisc.edu/catalog/publication?tags=Climate+and+Weather,Wisconsin Geological and Natural History Survey - Publications Catalog - Climate and Weather,,UW-M Wisconsin Geological and Natural History,36,1881-2000,,,,url,record,
agpubrepos0164,Botany Collection (University of Wisconsin-Madison),Wisconsin,University of Wisconsin-Madison,n,,https://search.library.wisc.edu/search/digital?filter%5Bfacets%5D%5Bcollections_facet~Botany+Collection%5D=yes,Botany Collection,,UW-Libraries - Digitized Collections,4399,1905-1994,,"Images, videos",,url,record,
agpubrepos0165,Botany Department Teaching Collection (University of Wisconsin-Madison),Wisconsin,University of Wisconsin-Madison,n,,https://search.library.wisc.edu/search/digital?filter%5Bfacets%5D%5Bcollections_facet~Botany+Department+Teaching+Collection%5D=yes,Botany Department Teaching Collection,,UW-Libraries - Digitized Collections,"2,661",na,,"Images, videos",,url,record,
agpubrepos0166,Historic USGS Topographic Maps (University of Wisconsin-Madison),Wisconsin,University of Wisconsin-Madison,n,,https://search.library.wisc.edu/search/digital?filter%5Bfacets%5D%5Bcollections_facet~Historic+USGS+Topographic+Maps%5D=yes,Historic USGS Topographic Maps,,UW-Libraries - Digitized Collections,"2,598",1890-2005,,Cartographic,,url,record,
agpubrepos0167,Ecology and Natural Resources (University of Wisconsin-Madison),Wisconsin,University of Wisconsin-Madison,n,,https://search.library.wisc.edu/search/digital?filter%5Bfacets%5D%5Bcollections_facet~Ecology+and+Natural+Resources%5D=yes,Ecology and Natural Resources,,UW-Libraries - Digitized Collections,"11,936",1849-2018,,"Images, text, sound, cartographic",some,url,record,
agpubrepos0168,Tractor Image Collection (Wisconsin Historical Society),Wisconsin,Wisconsin Historical Society,y,,https://www.wisconsinhistory.org/Records?terms=Tractors+color+McCormick,Tractor Image Collection,,Wisconsin Historical Society,377,1800-1999,ContentDM,"Images, pdfs",,url,record,
agpubrepos0169,1948 Wisconsin State Fair Murals: 100 Years of Agricultural History (Wisconsin Historical Society),Wisconsin,Wisconsin Historical Society,y,,https://www.wisconsinhistory.org/museum/exhibits/statefairmural/index.asp,1948 Wisconsin State Fair Murals: 100 Years of Agricultural History,,Wisconsin Historical Society,9,1848-1948,ContentDM,"Images, pdfs",,url,record,
agpubrepos0170,History of Wisconsin agriculture and rural life (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.USAIN,History of Wisconsin agriculture and rural life,various,UW-Libraries,1222,1827-1967,,,,url,record,
agpubrepos0171,Changing Landscapes of Wisconsin  (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://search.library.wisc.edu/digital/AAerialWI,Changing Landscapes of Wisconsin ,,UW-Libraries,,1937-1941,,Maps,,url,record,
agpubrepos0172,Among ourselves: a house organ for the staff of the College of Agriculture (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.AmongOurs,Among ourselves: a house organ for the staff of the College of Agriculture,,UW-Libraries,,1923/1932,,,,url,record,
agpubrepos0173,Annual meeting of the Wisconsin Cheese Makers' Association : report (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.WCAAnnualReport,Annual meeting of the Wisconsin Cheese Makers' Association : report,,UW-Libraries,,1897-1912,,,,url,record,
agpubrepos0174,"Annual narrative report of agricultural agent St. Croix County, Wisconsin (University of Wisconsin-Madison Library)",Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.NarrStCroix,"Annual narrative report of agricultural agent St. Croix County, Wisconsin",,UW-Libraries,,1940-1949,,,,url,record,
agpubrepos0175,"Annual report of the Bayfield county agricultural agent and the Bayfield county home agent Washburn, Wisconsin (University of Wisconsin-Madison Library)",Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.BayfiCoAA,"Annual report of the Bayfield county agricultural agent and the Bayfield county home agent Washburn, Wisconsin",,UW-Libraries,,1939-1944,,,,url,record,
agpubrepos0176,Annual report of the Coon Creek farm account (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.CoonCreek,Annual report of the Coon Creek farm account,,UW-Libraries,,1938-1944,,,,url,record,
agpubrepos0177,Annual report of the county agricultural agent [Grant County Wisconsin] (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.GrantCoAA,Annual report of the county agricultural agent [Grant County Wisconsin],,UW-Libraries,,1940-1943,,,,url,record,
agpubrepos0178,Annual report of the Dairy and Food Commissioner of Wisconsin (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.ARDFC,Annual report of the Dairy and Food Commissioner of Wisconsin,,UW-Libraries,,1890-1922,,,,url,record,
agpubrepos0179,Annual report of the executive secretary ... (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.WCAC02,Annual report of the executive secretary ...,,UW-Libraries,,1937-1951,,,,url,record,
agpubrepos0180,Annual report of the Wisconsin Agricultural Experiment Association (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.AEA,Annual report of the Wisconsin Agricultural Experiment Association,,UW-Libraries,,1903-1922,,,,url,record,
agpubrepos0181,Annual report of the Wisconsin State Agricultural Society for the year ... (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.WSAS,Annual report of the Wisconsin State Agricultural Society for the year ...,,UW-Libraries,,1855-1858,,,,url,record,
agpubrepos0182,Annual report of the Wisconsin State Board of Agriculture (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.SBA02,Annual report of the Wisconsin State Board of Agriculture,,UW-Libraries,,1901-1914,,,,url,record,
agpubrepos0183,Annual report of the Wisconsin State Horticultural Society (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.WSHSAnnRep,Annual report of the Wisconsin State Horticultural Society,,UW-Libraries,,1889-1928,,,,url,record,
agpubrepos0184,Annual report of the Wood Country agricultural agent (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.WoodCoAA,Annual report of the Wood Country agricultural agent,,UW-Libraries,,1935-1937,,,,url,record,
agpubrepos0185,Annual report of the Wood County Agricultural Extension Service (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.WoodCoAES,Annual report of the Wood County Agricultural Extension Service,,UW-Libraries,,1938-1949,,,,url,record,
agpubrepos0186,Annual report Waupaca County [Wisconsin] agricultural agent (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.AnnWaupAA,Annual report Waupaca County [Wisconsin] agricultural agent,,UW-Libraries,,1934-1943,,,,url,record,
agpubrepos0187,Annual report Waushara County Agricultural Agent (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.WausCoAA,Annual report Waushara County Agricultural Agent,,UW-Libraries,,unknown,,,,url,record,
agpubrepos0188,Annual report (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.WCAC01,Annual report,,UW-Libraries,,1949-1965,,,,url,record,
agpubrepos0189,Annual report (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.WDA,Annual report,,UW-Libraries,,1874-1927,,,,url,record,
agpubrepos0190,Annual report (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.WFIAnnualReport,Annual report,,UW-Libraries,,1925-1933,,,,url,record,
agpubrepos0191,Biennial report of the Dairy and Food Commissioner of Wisconsin for the years ... (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.BIDFC,Biennial report of the Dairy and Food Commissioner of Wisconsin for the years ...,,UW-Libraries,,1896-1928,,,,url,record,
agpubrepos0192,Biennial report of the Wisconsin State Board of Agriculture (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.SBA01,Biennial report of the Wisconsin State Board of Agriculture,,UW-Libraries,,1897-1901,,,,url,record,
agpubrepos0193,Bulletin (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.AAAL,Bulletin,,UW-Libraries,,1918-1920,,,,url,record,
agpubrepos0194,Bulletin (University of Wisconsin-Madison Library),Wisconsin,University of Wisconsin-Madison Library,y,,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?type=browse&scope=WI.Bulletin,Bulletin,,UW-Libraries,,1887-1889,,,,url,record,
